"supplierID","supplierName","contactPerson","phone","email","address","city","state"
1,"Goyal-Pant","Ansh Yohannan","9782006231","ckala@loyal.com","553, Jaggi
Jaipur 875213","Morbi","Sikkim"
2,"Garg-Vig","Jyoti Roy","02784290978","vghosh@varghese.com","80, Kanda Ganj, Kamarhati 562791","Noida","West Bengal"
3,"Shetty-Sampath","Gaurika Kumer","+919334900080","guptadevika@nagar-deo.org","H.No. 934
Keer Zila, Jalandhar 871466","South Dumdum","Arunachal Pradesh"
4,"Vala-Chandra","Harshil Mammen","+915683002638","aadibhatt@trivedi-desai.net","53/230
Sachdeva Street, Bhind 535880","Bharatpur","Nagaland"
5,"Mani-Natt","Wahab Bose","06381307678","trivedizayyan@dar-kara.com","549
Tata
Siwan-781084","Mau","Andhra Pradesh"
6,"Kuruvilla, Ram and Misra","Samar Chaudhry","09873331667","yagnesh50@mohanty.com","H.No. 69
Khalsa Chowk
Suryapet-523763","Jorhat","West Bengal"
7,"Khatri and Sons","Wishi Chowdhury","06486087393","tellabaghyawati@pau.net","H.No. 99
Arya Ganj
Raichur 976831","Ahmednagar","Kerala"
8,"Choudhary, Kurian and Khatri","Leela Subramaniam","08049353045","azaan91@sura.com","H.No. 465
Uppal Circle
Hindupur 117835","Kolhapur","Rajasthan"
9,"Bumb-Menon","Ganga Halder","+917682194584","vihaan02@raj.com","72/75
Bhargava Nagar
Bhubaneswar-505224","Morena","Maharashtra"
10,"Bumb, Gopal and Sachdeva","Shaurya Rege","2676465292","fariqkale@khatri.biz","770, Sankar Ganj
Raurkela Industrial Township-214504","Sasaram","Gujarat"
11,"Sahni-Nagy","Zaitra Naik","+916967277103","panditchaman@parsa.com","H.No. 724
Sibal Marg, Dindigul 010708","Srikakulam","Meghalaya"
12,"Sangha-Tailor","Kashish Vyas","+910251725433","edhithachawla@bawa.info","016, Sule Zila
Vellore 630693","Gandhinagar","Uttar Pradesh"
13,"Tiwari, Bumb and Virk","Rishi Kuruvilla","0578452829","baghyawatibaria@menon-johal.com","H.No. 559, Chana Marg
Mirzapur-039699","Jamshedpur","Nagaland"
14,"Shah-Sha","Neel Gandhi","05745411018","yauvani58@upadhyay.com","H.No. 11
Bawa Ganj
Ichalkaranji 069090","Ballia","Haryana"
